handle,content,tweet_replies,tweet_retweets,tweets_favorites,published_date,user_description,total_status_counts,total_followers,total_favorites,total_friends,account_created,protected,verified,screenName,location,lang,id,listedCount,followRequestSent,no_of_hashtags,no_of_urls
geekypoet,slow cooker vegan s mores oatmeal recipe   the oatmeal that makes you want to go camping  vegan  recipes  slowcooker   ,NA,1,3,3/10/2011 19:31,I create easy and delicious healthy vegan recipes your whole family will love! I started https://t.co/CP7njp6RG2 to share my passion for recipes with you.,11733,3482,2545,1739,3/5/2008 18:31,FALSE,FALSE,geekypoet,"Durham, NC",en,14084370,178,FALSE,3,1
gemswinc,rt  onegreenplanet  stuffed acorn squash with wheat berries  pine nuts   sage  seasonal and delicious    vegan  recipe,NA,1,2,11/6/2011 2:08,"Ret. HS Chem teacher, wildlife gardener, accidental birder, all around tree hugger & political junkie, who loves to take pictures.",218379,6655,1300,4818,2/5/2008 21:12,FALSE,FALSE,gemswinc,,en,13112692,643,FALSE,2,1
genebaur,hanging out with  honeylabronx at the veggie pride parade   justeats  vegan  ,NA,1,NA,5/15/2011 23:18,"Gene Baur is a #vegan activist, best selling author, and co-founder and president of @FarmSanctuary, America’s leading farm animal protection organization.",22545,25192,3100,2351,4/16/2009 12:58,FALSE,FALSE,genebaur,,en,31766093,618,FALSE,2,1
genebaur, vegan potluck with rip esselstyn of the  engine2diet and  forksoverknives   justeats  ,NA,3,1,5/31/2011 5:07,"Gene Baur is a #vegan activist, best selling author, and co-founder and president of @FarmSanctuary, America’s leading farm animal protection organization.",22545,25192,3100,2351,4/16/2009 12:58,FALSE,FALSE,genebaur,,en,31766093,618,FALSE,2,1
genebaur,this memorial day  please also remember the animals who died needlessly for peoples palates  try a  vegan hot dog or burger ,NA,14,NA,5/30/2011 21:31,"Gene Baur is a #vegan activist, best selling author, and co-founder and president of @FarmSanctuary, America’s leading farm animal protection organization.",22545,25192,3100,2351,4/16/2009 12:58,FALSE,FALSE,genebaur,,en,31766093,618,FALSE,1,0
geneticmaize,excellent post by  soymilk gun   fears  gmo  vegan  skeptic,NA,3,1,9/18/2011 2:05,"One of the original @scimoms, with expertise in plant genetics & sustainable ag. Former @USArmy public health & @USDA environmental risk analysis. She, please.",45230,5643,6110,1204,12/15/2007 1:01,FALSE,FALSE,geneticmaize,"Des Moines, IA",en,11183312,343,FALSE,3,1
ger1771, goconstance here s my  vegan thanksgiving plate pic twitter com 8h2n43ux,NA,2,1,11/25/2011 10:58,American,5947,100,24735,174,11/14/2010 6:59,FALSE,FALSE,ger1771,she/her,en,215544299,3,FALSE,1,0
getabull,the  vegetarian  vegan presence on twitter is amazingly inspiring and supportive ,NA,4,NA,3/11/2011 3:14,501c3 animal rescue & advocacy group dedicated to the rescue of pit bull dogs & beyond in NY/LI,1279,685,15,758,4/23/2010 1:25,FALSE,FALSE,getabull,"Huntington, New York",en,136100260,18,FALSE,2,0
GetFoodSense,how to make your own  vegan condiments  ,NA,2,1,7/27/2011 2:00,"Food Sense is a unique resource for thoughtful, food-loving eaters and home cooks who have a palate for plant-based eating. Curated by @julie_lamba.",420,722,0,641,5/21/2011 20:09,FALSE,FALSE,GetFoodSense,"Philadelphia, PA",en,302813943,24,FALSE,1,1
GirlieGirlArmy,ny  ecochic beauty musts  all natural  vegan facials  tresbellespa in bk   haircut color   make up brows  edendibianco  who travels to you  ,NA,2,1,9/26/2011 9:24,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,2,0
GirlieGirlArmy,the  passover  section of your local supermarket is a treasure trove of accidentally  vegan treats like dark chocolate covered matzah ,NA,7,NA,3/28/2011 8:05,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,1,0
GirlieGirlArmy,the soy debate rages on  soy sexy or avoid like the plague     soy  vegan,NA,3,1,4/8/2011 0:44,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,2,1
GirlieGirlArmy,a week of cheap vegan meals   vegan  cheapfood  recipes,NA,NA,3,9/30/2011 18:37,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,3,1
GirlieGirlArmy,fun fun fun   join us at the new york city vegetarian food festival  it s free   the schedule is amazing    vegan,NA,3,1,3/27/2011 20:25,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,1,1
GirlieGirlArmy,new  vegan  yogurt alert  amandeyogurt com is made from almonds  has no sugar soy dairy   glutenfree   delicious  fruit juice sweetened ,3,4,3,8/27/2011 20:22,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,3,0
GirlieGirlArmy,recipe  chocolate chip banana pancakes   breakfastfordinner  glutenfree  vegan,1,4,5,9/25/2011 2:28,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,3,1
GirlieGirlArmy,calling all vegetarians   step up  why eggs   dairy are as cruel as meat    vegan  dairyfree  vegetarian,NA,8,NA,3/11/2011 8:09,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,3,1
GirlieGirlArmy,20  off the best ever  vegan  raw chocolate from  gnosischocolate w   coupon code sept 20  delish   shockingly healthy ,1,4,NA,9/19/2011 20:35,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,3,1
GirlieGirlArmy,being vegan is so gay    gay  vegan,NA,3,3,3/17/2011 0:14,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,2,1
GirlieGirlArmy,new yorkers  get  40 worth of food for  20 at  sacredchow  delicious  vegan food downtown  on livingsocial today  ,NA,2,1,5/18/2011 7:14,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,1,1
GirlieGirlArmy,our favorite top five ways to save money   live like a green socialite   budget  moneysaving  green  vegan,NA,2,1,10/21/2011 19:05,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,4,1
GirlieGirlArmy,bonus of buying  vegan fashion boots  purse held up in pouring rain  leather stains   stretches  but not pleather   waterproof  via  aniphyo,NA,4,NA,11/22/2011 21:50,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,2,0
GirlieGirlArmy,genius   a web design co that makes online storefronts   apps for ipads  iphones  ie one stop techie shop  that is  vegan owned  bbtfactory,1,3,1,10/1/2011 2:13,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,1,0
GirlieGirlArmy,steve jobs was  vegan  ,NA,2,NA,11/3/2011 2:20,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,1,1
GirlieGirlArmy,breaking news   freepeople debuts  vegan leather collection but    sells fur   ,1,5,NA,7/23/2011 7:18,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,1,1
GirlieGirlArmy,recipe  raw chocolate covered strawberry shake    pure energy and deliciousness  via  sarma  raw  vegan,2,3,2,9/24/2011 21:53,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,2,1
GirlieGirlArmy,dead cow walking  the case against born again carnivorism     meat  vegan  foodie,NA,2,1,12/30/2011 22:10,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,3,1
GirlieGirlArmy, glutenfreegigi  dailydietribe  rickiheller fyi  this website actually tells you which wines  spirits are  vegan  ,NA,2,1,5/18/2011 0:14,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,1,1
GirlieGirlArmy,hey  timeoutnewyork   sustainable  vegan  organic food is never covered in your mag   it s just non stop bacon   foie gras  grow up ,1,5,3,10/21/2011 18:30,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,2,0
GirlieGirlArmy,announcement  2  a girliegirl army boutique  everything  eco  vegan  finely curated by moi  holiday shopping anyone ,NA,4,NA,11/14/2011 19:49,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,3,1
GirlieGirlArmy,how to be  vegan for  3 33 a day  via  vegucated    marisamillerw,NA,4,2,5/18/2011 2:36,"Founder & Editor of https://t.co/OZ288RiCAJ, Writer, Eco Spokesperson, Activist, Animal Lover, Vegan BF/AP, Progressive, Q, & Wife/Mom of 3 in NYC.",16489,10615,14526,1450,2/12/2009 1:16,FALSE,FALSE,GirlieGirlArmy,New York City & Beyond,en,20645295,491,FALSE,1,1
glamourmag,afternoon snack  low sugar   vegan banana chocolate chip cookies from  bethenny  they are amazing   ,NA,9,7,6/4/2011 19:46,"All New Conversations, All New Glamour.",111635,1363955,5236,1129,1/20/2009 18:03,FALSE,TRUE,glamourmag,,en,19247844,7726,FALSE,1,1
glamourmag,breakfast at your desk  the peachy vanilla  vegan smoothie by  nytimes s  martharshulman we can t wait to try ,NA,4,4,8/15/2011 19:50,"All New Conversations, All New Glamour.",111635,1363955,5236,1129,1/20/2009 18:03,FALSE,TRUE,glamourmag,,en,19247844,7726,FALSE,1,1
glamourmag,afternoon snack  pistachio  pudding  made with avocado from  sketchfreevegan    vegan  raw  recipe,NA,3,2,9/4/2011 19:48,"All New Conversations, All New Glamour.",111635,1363955,5236,1129,1/20/2009 18:03,FALSE,TRUE,glamourmag,,en,19247844,7726,FALSE,3,1
glamourmag,breakfast at your desk  a raw   vegan breakfast by  theblendergirl anyone will love  ,NA,4,8,5/26/2011 18:32,"All New Conversations, All New Glamour.",111635,1363955,5236,1129,1/20/2009 18:03,FALSE,TRUE,glamourmag,,en,19247844,7726,FALSE,1,1
glamourmag,we way not all be vegans  but we can all love this diet friendly pumpkin spice ice cream   vegan  recipe,1,5,12,10/19/2011 17:18,"All New Conversations, All New Glamour.",111635,1363955,5236,1129,1/20/2009 18:03,FALSE,TRUE,glamourmag,,en,19247844,7726,FALSE,2,1
glamourmag,3 up and coming nail polish brands with hot shades you ll love   vegan,NA,6,2,8/3/2011 3:46,"All New Conversations, All New Glamour.",111635,1363955,5236,1129,1/20/2009 18:03,FALSE,TRUE,glamourmag,,en,19247844,7726,FALSE,1,1
glamourmag,why is everyone going  vegan    health,NA,1,1,3/24/2011 17:01,"All New Conversations, All New Glamour.",111635,1363955,5236,1129,1/20/2009 18:03,FALSE,TRUE,glamourmag,,en,19247844,7726,FALSE,2,1
glamourmag, health controversy   i m pregnant  and  vegan    corinne bowen talks about her choices  ,NA,3,NA,4/11/2011 5:44,"All New Conversations, All New Glamour.",111635,1363955,5236,1129,1/20/2009 18:03,FALSE,TRUE,glamourmag,,en,19247844,7726,FALSE,2,1
glamourmag,afternoon snack  zesty nacho kale chips from rhythmsuperfood   vegan  omgyum,1,3,2,7/4/2011 19:52,"All New Conversations, All New Glamour.",111635,1363955,5236,1129,1/20/2009 18:03,FALSE,TRUE,glamourmag,,en,19247844,7726,FALSE,2,1
glamourmag,so  why is everyone going  vegan  and is it right for you  we investigated so you can know  ,3,8,7,11/27/2011 19:32,"All New Conversations, All New Glamour.",111635,1363955,5236,1129,1/20/2009 18:03,FALSE,TRUE,glamourmag,,en,19247844,7726,FALSE,1,1
glenefriedman,yo  all vegan friends and followers cut and paste this     after your name in your profile   statements are a good thing  vegan  environment,NA,8,2,11/2/2011 5:59,"Human-Artist-Photographer-Vegan-Father-SkateBoarder-Punk-Activist-Publisher-Idealist  * * * 
  

Here's the full Bio if you really want it: http://t.co/UGdrba92",7027,7663,200,101,8/8/2009 3:14,FALSE,FALSE,glenefriedman,EARTH (mostly NYC),en,63893235,179,FALSE,2,0
GlennishaMorgan,for all of my  veggie    vegan ppl on my tl here s a list of companies that are 100  gmo  free   ,1,3,1,7/10/2011 22:55,"Digital Content Editor @BeasleyMedia Writer @Autostraddle ,@Bustle,@EbonyMag, @Elixhermagazine, @HotNewHipHop, @HuffPost, @VibeMagazine + | Owner  @247FreshDope",126556,2994,2284,1870,6/17/2008 5:47,FALSE,TRUE,GlennishaMorgan,On Deadline,en,15142647,181,FALSE,2,1
glutenfreegirl,seriously  how rude of her    karinaallrich  really martha    gf  vegan  foodallergies  narcissism ,8,8,NA,12/16/2011 7:19,"stumbling along, finding joy at the margins. always learning. in love with the world, in spite of it all.",87520,179037,11993,732,10/13/2008 17:25,FALSE,TRUE,glutenfreegirl,Left-hand corner.,en,16723838,2620,FALSE,4,1
Glutenfreeworks, glutenfree    vegan gingersnap cookies     a perfect treat  ,NA,2,1,11/16/2011 1:22,Making gluten-free work for millions around the world! Posts by John.,105533,56966,245,39543,4/8/2009 17:57,FALSE,FALSE,Glutenfreeworks,Planet Earth,en,29775101,1207,FALSE,2,1
GMA,rt  danchildsabc  which state hosts the university with the first all  vegan cafeteria  the answer may surprise you  ,1,6,1,9/1/2011 21:50,Put some GOOD in your morning! Watch @GMA at 7am and around the clock at https://t.co/zWNTWbVVGq! Watch @StrahanAndSara at 1pm ET/12pm c/p weekdays!,201657,3601124,6484,2420,3/3/2009 17:40,FALSE,TRUE,GMA,"New York, NY",en,22650211,16974,FALSE,1,1
GoMaxGoFoods, uncagedfilms  kudo s on ur flick  skintrade  people if u weren t born w fur don t wear it    vegan  animal,NA,1,1,1/22/2011 12:42,"Jokerz,Mahalo,Twilight,Buccaneer,Cleo's & SNAP!...Vegan candy bars...A little slice of Heaven!",15794,4981,432,3362,7/7/2009 4:55,FALSE,FALSE,GoMaxGoFoods,,en,54455107,199,FALSE,2,1
GoMaxGoFoods,one more thing  2 all the eco stores selling vegetable tanned leather it s not ethical or cool  what s the diff b tween u   macy s   vegan,NA,1,NA,1/13/2011 0:45,"Jokerz,Mahalo,Twilight,Buccaneer,Cleo's & SNAP!...Vegan candy bars...A little slice of Heaven!",15794,4981,432,3362,7/7/2009 4:55,FALSE,FALSE,GoMaxGoFoods,,en,54455107,199,FALSE,1,0
gonepie,the problem is not industrial agriculture  the problem is animal agriculture  don t buy the humane myth     vegan,NA,2,2,8/4/2011 21:04,"Always vegan. Always glutenfree.   

 @vgnmkt 4/22 | @vegworcester 4/29 | Sampler https://t.co/6cVsOojP9v",25314,18982,876,3729,2/11/2009 16:12,FALSE,FALSE,gonepie,NYC,en,20599403,547,FALSE,1,1
gonepie,caramashew cups    awesome  vegan coconut cashew based caramel chocolates  available    ,NA,2,1,3/1/2011 8:52,"Always vegan. Always glutenfree.   

 @vgnmkt 4/22 | @vegworcester 4/29 | Sampler https://t.co/6cVsOojP9v",25314,18982,876,3729,2/11/2009 16:12,FALSE,FALSE,gonepie,NYC,en,20599403,547,FALSE,1,2
gonepie, vegan pizza      garlic butter brushed on crust  three kinds of mushrooms and daiya mozzarella  blackbird pizza  ,3,3,1,10/18/2011 1:17,"Always vegan. Always glutenfree.   

 @vgnmkt 4/22 | @vegworcester 4/29 | Sampler https://t.co/6cVsOojP9v",25314,18982,876,3729,2/11/2009 16:12,FALSE,FALSE,gonepie,NYC,en,20599403,547,FALSE,1,1
gonepie,making sweet potato cornbread for potluck brunch            vegan  glutenfree  recipe,NA,1,1,5/1/2011 18:48,"Always vegan. Always glutenfree.   

 @vgnmkt 4/22 | @vegworcester 4/29 | Sampler https://t.co/6cVsOojP9v",25314,18982,876,3729,2/11/2009 16:12,FALSE,FALSE,gonepie,NYC,en,20599403,547,FALSE,3,1
gonepie, nyc two boots pizza   free  vegan tasting event on tuesday  november 1 from 6   8 pm at the 42 avenue a location,2,5,NA,10/29/2011 21:44,"Always vegan. Always glutenfree.   

 @vgnmkt 4/22 | @vegworcester 4/29 | Sampler https://t.co/6cVsOojP9v",25314,18982,876,3729,2/11/2009 16:12,FALSE,FALSE,gonepie,NYC,en,20599403,547,FALSE,2,1
gonepie,delivering to elm health   vegan  glutenfree lemon poppy loaves  sweet potato cornbread  vegan pumpkin brownies frosted  spelt barley ,NA,1,1,5/27/2011 1:50,"Always vegan. Always glutenfree.   

 @vgnmkt 4/22 | @vegworcester 4/29 | Sampler https://t.co/6cVsOojP9v",25314,18982,876,3729,2/11/2009 16:12,FALSE,FALSE,gonepie,NYC,en,20599403,547,FALSE,3,0
gonepie,    rt  larayaz  super article about  vegan izing baked goods by  gonepie  great info for baby bakers like me  ,NA,2,1,3/22/2011 22:59,"Always vegan. Always glutenfree.   

 @vgnmkt 4/22 | @vegworcester 4/29 | Sampler https://t.co/6cVsOojP9v",25314,18982,876,3729,2/11/2009 16:12,FALSE,FALSE,gonepie,NYC,en,20599403,547,FALSE,1,1
gonepie,rt  khaetlyn  today is world milk day  celebrate by not drinking it   vegan  worldmilkday,NA,3,1,6/1/2011 18:48,"Always vegan. Always glutenfree.   

 @vgnmkt 4/22 | @vegworcester 4/29 | Sampler https://t.co/6cVsOojP9v",25314,18982,876,3729,2/11/2009 16:12,FALSE,FALSE,gonepie,NYC,en,20599403,547,FALSE,2,0
gonepie,pumpkin creme brulee     ftw       coconut milk  pumpkin  maple syrup  coconut oil  agar agar  nutmeg    vegan,3,2,1,11/28/2011 3:45,"Always vegan. Always glutenfree.   

 @vgnmkt 4/22 | @vegworcester 4/29 | Sampler https://t.co/6cVsOojP9v",25314,18982,876,3729,2/11/2009 16:12,FALSE,FALSE,gonepie,NYC,en,20599403,547,FALSE,1,0
gonepie,experimenting with  vegan  glutenfree irish soda bread tomorrow  i am so into eating irish soda bread   fingerscrossed,NA,NA,2,3/15/2011 4:23,"Always vegan. Always glutenfree.   

 @vgnmkt 4/22 | @vegworcester 4/29 | Sampler https://t.co/6cVsOojP9v",25314,18982,876,3729,2/11/2009 16:12,FALSE,FALSE,gonepie,NYC,en,20599403,547,FALSE,3,0
good,food studies  the flax egg and other  vegan baking tricks ,NA,20,18,4/15/2011 0:35,Understand the world so you can improve it. Since 2006 and still pushing.,44919,890120,6657,1274,1/27/2009 22:24,FALSE,TRUE,good,"Los Angeles, CA",en,19621110,21091,FALSE,1,1
goodfoodscaters,mad love this great sunday   bbq ribs are back  the smoked chicken   vegan black bean stew and much more at  stonestown market 9   1pm do it,NA,3,NA,4/3/2011 21:20,"A full service Catering company focusing on Local Organic & Sustainable products. Creating wonderful  events for all types of clients, drop offs as well.",5050,3225,27,630,7/22/2009 1:04,FALSE,FALSE,goodfoodscaters,"San Francisco, CA",en,58984663,227,FALSE,2,0
goodhealth,great ideas  rt  fitsugar  grilling this  memorialday  don t forget our 20  vegan side dishes  ,NA,7,3,5/24/2011 23:37,"Live your best life now with https://t.co/6qkLLHhAwp: Get the scoop on fitness, food, beauty, & more! Social media terms https://t.co/nCS78i7UEB",67633,3420957,638,1386,7/23/2008 16:54,FALSE,TRUE,goodhealth,,en,15566901,13955,FALSE,2,1
GoodKarmaPC, sundance  parkcity visitors  we re now serving the best  glutenfree  vegan and  vegetarian dishes in town  stop by for some good karma ,NA,6,NA,1/21/2011 1:33,Park City's only nationally recognized Indian & Persian Restaurant. 435-658-0958,318,1361,6,1868,11/22/2010 22:58,FALSE,FALSE,GoodKarmaPC,"Park City, Utah",en,218660840,21,FALSE,5,0
goodnessdirect,free booja booja truffle box to 2 winners   vegan choc at it s best  rt to win  comp ends 4 30pm 18 5 11,NA,74,NA,5/18/2011 17:55,GoodnessDirect. Healthy. Fresh. Eco. Organic. Online retail healthy and special diets food shop. Customer Support.,6165,5670,921,1699,1/29/2008 11:22,FALSE,FALSE,goodnessdirect,"Daventry, UK",en,12825032,170,FALSE,1,1
goodnessdirect,win this simply gluten free   dairy free recipe book  it s beautiful    gf  gfree  coeliac  celiac  dairyfree  vegan,NA,1,NA,4/5/2011 14:39,GoodnessDirect. Healthy. Fresh. Eco. Organic. Online retail healthy and special diets food shop. Customer Support.,6165,5670,921,1699,1/29/2008 11:22,FALSE,FALSE,goodnessdirect,"Daventry, UK",en,12825032,170,FALSE,6,1
GoodyGoodStuff,rt   follow 44 more people needed until our next  giveaway of our  goodygoodstuff  vegan  vegetarian sweets  ,1,48,1,10/25/2011 14:47,Goody Good Stuff is a gelatine free alternative to traditional gummy gelatine based candy. All 8 varieties are vegan and are certified by the Vegan logo.,3541,6797,1066,3392,3/19/2010 11:46,FALSE,FALSE,GoodyGoodStuff,Worldwide,en,124437424,94,FALSE,3,0
GoodyGoodStuff,just need 78 more followers until our next  giveaway of  goodygoodstuff   vegetarian  vegan  sweets  d good luck    d,NA,6,NA,11/28/2011 21:20,Goody Good Stuff is a gelatine free alternative to traditional gummy gelatine based candy. All 8 varieties are vegan and are certified by the Vegan logo.,3541,6797,1066,3392,3/19/2010 11:46,FALSE,FALSE,GoodyGoodStuff,Worldwide,en,124437424,94,FALSE,4,0
GoodyGoodStuff,36 more people to go till our  giveaway of  vegan  vegetarian sweet  goodygoodstuff please follow  d,1,28,NA,11/15/2011 16:18,Goody Good Stuff is a gelatine free alternative to traditional gummy gelatine based candy. All 8 varieties are vegan and are certified by the Vegan logo.,3541,6797,1066,3392,3/19/2010 11:46,FALSE,FALSE,GoodyGoodStuff,Worldwide,en,124437424,94,FALSE,3,0
GoVeganDotNet,vegan  vegan curious  check out the go  vegan w sarah kramer iphone app  more info    please rt ,NA,7,1,12/30/2011 22:44,I'm happy. Hope you're happy too...,27748,15139,2611,114,3/12/2009 20:39,FALSE,FALSE,GoVeganDotNet,"Victoria, British Columbia",en,24031223,451,FALSE,1,1
GoVeganRadio,bob linden   meat   dairy will kill your family and the planet long before  alqaeda   monsanto   gmos   oilcos etc ever will    vegan,NA,4,NA,6/6/2011 1:32,"Listener-supported GO VEGAN RADIO WITH BOB LINDEN is the voice for animals, environment, human health, & peace - broadcasting since 2001",5234,15044,61,826,6/13/2010 21:58,FALSE,FALSE,GoVeganRadio,worldwide,en,155344404,264,FALSE,5,0
GrantButler,my 5 favorite  vegan cookbooks of 2011  ,1,2,1,12/27/2011 8:57,"Reporter and editor at The @Oregonian and https://t.co/ToPnEy6ueV. Vegan, cooking enthusiast, movie fanatic. Trying to live a kinder, gentler life.",9956,7956,455,3300,3/3/2009 21:18,FALSE,TRUE,GrantButler,"Portland, OR",en,22681436,546,FALSE,1,1
GrantButler,cool  oprah winfrey and 378 staffers go  vegan for a week  hopefully she ll help open hearts and minds    oprah,NA,4,1,2/1/2011 2:08,"Reporter and editor at The @Oregonian and https://t.co/ToPnEy6ueV. Vegan, cooking enthusiast, movie fanatic. Trying to live a kinder, gentler life.",9956,7956,455,3300,3/3/2009 21:18,FALSE,TRUE,GrantButler,"Portland, OR",en,22681436,546,FALSE,2,1
GrantButler,quinoa 101  everything you need to know about cooking with the hot s  american grain  plus 4 recipes    vegan,NA,3,1,2/15/2011 22:22,"Reporter and editor at The @Oregonian and https://t.co/ToPnEy6ueV. Vegan, cooking enthusiast, movie fanatic. Trying to live a kinder, gentler life.",9956,7956,455,3300,3/3/2009 21:18,FALSE,TRUE,GrantButler,"Portland, OR",en,22681436,546,FALSE,1,1
GreatSkeptic, we re not talking about reducing heart attacks   we re talking about potentially reversing heart attacks    vegan  thelastheartattack,NA,5,NA,8/29/2011 7:18,trying to remain rational in an irrational world.,11375,864,325,341,6/9/2011 19:59,FALSE,FALSE,GreatSkeptic,"Washington, D.C. Metro Area",en,314151079,44,FALSE,2,0
